es_topic_id,description,topic_name
1,"Defines a structured approach for requesting and returning immunization evaluations and recommendations, including contextual factors. This separates CDS logic from IIS systems while allowing integration through standard interfaces. It builds on FHIR-based models and extends beyond traditional HL7 v2 forecasting approaches. Interest is growing as part of broader CDS standardization efforts.",Immunization CDS (ImmDS + HALO)
2,"Enables individuals to access their immunization records directly from IIS. This may use FHIR APIs, patient portals, or digital credentials like SMART Health Cards. It is a growing expectation but not uniformly implemented. Interest is increasing, though approaches vary significantly.",Consumer Access to Records
3,"Supports notifying submitters or users when data quality issues are detected. This may occur during HL7 v2 processing or through separate reporting mechanisms. It can improve data completeness and accuracy over time. Interest exists, but no pattern or standard for doing this has been identified.",Data Quality Notifications
4,Enables validation of vaccine lot numbers against reference data to improve data quality and safety tracking. This can support IIS in ensuring accurate reporting of administered vaccines. It may use external services or standardized lookup tables rather than HL7 v2 messaging. Interest exists but there are no known implementations of this.,Vaccine Lot Validation
5,"Supports identifying and authenticating individuals to access their immunization records. This may involve identity verification, login credentials, and secure access patterns. It could leverage modern API-based approaches alongside existing IIS access methods. Interest is growing as consumer access expands, though approaches vary widely.",Consumer Identity & Access
6,Supports importing immunization data into IIS using structured flat files rather than real-time messaging. This is often used for bulk onboarding or legacy data migration. It complements HL7 v2 VXU submissions but is not standardized nationally. Interest is situational and varies by jurisdiction.,Flat File Data Import
7,"Expands immunization decision support by including additional patient contextual conditions such as medical conditions, occupation, or risk factors. This supports more accurate recommendations beyond age and vaccination history. It may be conveyed using FHIR or HL7 v2. Interest is emerging, particularly where IIS-supported CDS needs to reflect more complex clinical guidance.",CDS Contextual Conditions
8,"A national initiative to enable standardized health information exchange across networks. It is not an IIS-specific standard but may influence how IIS participate in broader data sharing. TEFCA can drive new use cases and technical approaches, including FHIR-based exchange. It acts as a driver of topics rather than a standalone IIS standard.",TEFCA (National Exchange Framework)
9,Focuses on matching and deduplicating immunization records within IIS. This is distinct from patient matching and addresses duplicate vaccination entries. It is typically handled internally with limited standardization. Interest is moderate but solutions are highly localized.,Immunization Record Matching
10,"Supports analysis of immunization data for public health insights, reporting, and decision-making. This is not a specific interoperability standard but often relies on exported data or bulk exchange formats. It may leverage FHIR Bulk Data or other extract mechanisms. Interest is high, though standardization is limited.",Population Analytics
11,"Captures information about the source and history of immunization data within IIS. This can support trust, auditing, and data quality efforts. It may be represented using FHIR Provenance resources or internal tracking methods. Interest is emerging but not widely implemented.",Data Provenance Tracking
12,"Explores standardizing vaccine ordering workflows between EHR systems and IIS or related systems. This could allow providers to initiate or manage vaccine orders directly within clinical workflows. It extends beyond current HL7 v2 immunization reporting into supply chain coordination. Interest is exploratory, and the IIS role is not yet clearly defined.",Vaccine Ordering Integration
13,Defines a standard approach for requesting and returning immunization forecasts from CDS engines. It focuses on structured evaluation and recommendation logic separate from IIS data storage. This can complement or replace proprietary CDS integrations. Interest is growing as part of FHIR-based modernization efforts.,Immunization Decision Support (ImmDS)
14,"Enables systems to receive updates when data changes, rather than polling IIS with repeated queries. This uses FHIR Subscription resources to support event-driven workflows. It represents a shift from QBP polling toward push-based exchange. Interest is growing, though use cases are still being defined.",Event-Based Exchange (FHIR Subscriptions)
15,"Focuses on validating and interpreting codes received by IIS, such as CVX or MVX values. This ensures consistency and correctness of incoming data. It is a core data quality function supported within HL7 v2 processing. This is currently not seen as a separate service, but if there were a standard then it could be separated.",Received Code Validation
16,"Supports capture of vaccine information using barcode scanning at the point of care. This improves accuracy of product, lot, and expiration data. It may integrate with IIS through HL7 v2 VXU submissions. Interest is moderate and tied to provider workflow adoption.",Vaccine Barcode Scanning
17,"Supports allowing authenticated individuals to request corrections to their immunization records. This could include submitting updates, flagging issues, and tracking resolution status. It extends beyond traditional HL7 v2 workflows into consumer-facing processes and APIs. IIS struggle to support corrections using traditional in-person or fax measures.",Consumer Record Corrections
